year, month,airline,airport,airport_name,arrival_flights,delayed_flights,carrier_ct, weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted
2018,1,Spirit Air Lines,ACY,"Atlantic City, NJ: Atlantic City International",310,37,8.39,0.65,22.81,0,5.15,14,0
2018,1,Spirit Air Lines,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",629,105,28.17,2.88,55.27,1,17.68,10,0
2018,1,Spirit Air Lines,BDL,"Hartford, CT: Bradley International",186,14,9.23,0,0.4,0,4.37,9,0
2018,1,Spirit Air Lines,BOS,"Boston, MA: Logan International",494,91,14.26,0.21,52.23,0,24.31,44,0
2018,1,Spirit Air Lines,BQN,"Aguadilla, PR: Rafael Hernandez",13,1,0,0,1,0,0,0,0
2018,1,Spirit Air Lines,BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",635,87,23.31,1.43,33.54,2,26.72,8,0
2018,1,Spirit Air Lines,CAK,"Akron, OH: Akron-Canton Regional",75,12,4.86,0.01,2.13,0,5,0,0
2018,1,Spirit Air Lines,CLE,"Cleveland, OH: Cleveland-Hopkins International",230,22,5.94,0,6.05,0,10.01,1,0
2018,1,Spirit Air Lines,DEN,"Denver, CO: Denver International",258,33,10.35,1.25,15.33,0,6.07,2,0
2018,1,Spirit Air Lines,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",608,81,23.92,0.48,34.44,2.93,19.22,6,1
2018,1,Spirit Air Lines,DTW,"Detroit, MI: Detroit Metro Wayne County",890,136,31.54,1.62,71.79,0.96,30.09,9,0
2018,1,Spirit Air Lines,EWR,"Newark, NJ: Newark Liberty International",293,58,7.7,0,47.95,0,2.35,18,0
2018,1,Spirit Air Lines,FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",1483,231,46.96,6.75,124.55,2.04,50.71,36,2
2018,1,Spirit Air Lines,IAG,"Niagara Falls, NY: Niagara Falls International",30,3,1.98,0,1.02,0,0,4,0
2018,1,Spirit Air Lines,IAH,"Houston, TX: George Bush Intercontinental/Houston",496,60,10.71,1.14,32.8,0,15.35,20,1
2018,1,Spirit Air Lines,LAS,"Las Vegas, NV: McCarran International",1054,112,24.38,4.38,51.92,0.23,31.09,17,1
2018,1,Spirit Air Lines,LAX,"Los Angeles, CA: Los Angeles International",682,83,24.28,3,37.05,0.94,17.74,7,1
2018,1,Spirit Air Lines,LBE,"Latrobe, PA: Arnold Palmer Regional",93,15,4.07,2,2.22,1,5.7,2,0
2018,1,Spirit Air Lines,LGA,"New York, NY: LaGuardia",341,78,9.27,5.27,58.08,0.86,4.51,16,0
2018,1,Spirit Air Lines,MCI,"Kansas City, MO: Kansas City International",124,10,4.9,0,4.41,0,0.69,1,0
2018,1,Spirit Air Lines,MCO,"Orlando, FL: Orlando International",1100,197,38.13,2.29,119.73,1.26,35.58,24,1
2018,1,Spirit Air Lines,MSP,"Minneapolis, MN: Minneapolis-St Paul International",390,37,8.75,0,16.34,1,10.91,16,0
2018,1,Spirit Air Lines,MSY,"New Orleans, LA: Louis Armstrong New Orleans International",498,63,17.53,2.12,34.57,0.79,7.98,23,1
2018,1,Spirit Air Lines,MYR,"Myrtle Beach, SC: Myrtle Beach International",186,24,7.98,0,14.02,0,2,13,0
